genus,species,tmax,tmin,phylum,class,order,family,scientific_name_std,n,lat,long,region
Cyanerpes,cyaneus,35,25,Chordata,Aves,Passeriformes,Fringillidae,Cyanerpes cyaneus,9,10.15,-64.28,Tropical
Gallirallus,owstoni,38,29,Chordata,Aves,Gruiformes,Rallidae,Gallirallus owstoni,4,13.26,144.47,Tropical
Aulacorhynchus,sulcatus,31,23,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus sulcatus,2,9.34,-66.08,Tropical
Todus,mexicanus,32,29,Chordata,Aves,Coraciiformes,Todidae,Todus mexicanus,8,18.19,-65.45,Tropical
Coereba,flaveola,35,25,Chordata,Aves,Passeriformes,Thraupidae,Coereba flaveola,10,18.19,-65.45,Tropical
Trochilus,polytmus,29,20,Chordata,Aves,Trochiliformes,Trochilidae,Trochilus polytmus,5,18.23,-77.62,Tropical
Trochilus,scitulus,29,20,Chordata,Aves,Trochiliformes,Trochilidae,Trochilus scitulus,5,18.23,-77.62,Tropical
Hylophylax,naevioides,34,30,Chordata,Aves,Passeriformes,Thamnophilidae,Hylophylax naevioides,8,9,-79,Tropical
Alaemon,alaudipes,37.5,32.7,Chordata,Aves,Passeriformes,Alaudidae,Alaemon alaudipes,7,22.15,41.5,Tropical
Eremalauda,dunni,43.6,31.5,Chordata,Aves,Passeriformes,Alaudidae,Eremalauda dunni,16,22.15,41.5,Tropical
Lonchura,fuscans,39,30,Chordata,Aves,Passeriformes,Estrildidae,Lonchura fuscans,8,4.53,114.56,Tropical
Sporophila,corvina,39.2,28.9,Chordata,Aves,Passeriformes,Thraupidae,Sporophila corvina,11,9.07,-79.42,Tropical
Manacus,vitellinus,NA,25,Chordata,Aves,Passeriformes,Pipridae,Manacus vitellinus,7,9.15,-79.85,Tropical
Pipra,mentalis,NA,27,Chordata,Aves,Passeriformes,Pipridae,Pipra mentalis,3,9.15,-79.85,Tropical
Aulacorhynchus,prasinus,NA,23,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus prasinus,2,23.38,-101.37,Tropical
Nyctidromus,albicollis,NA,23.5,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,2,9.1,-79.8,Tropical
