genus,species,tmax,tmin,phylum,class,order,family,scientific_name_std,n,lat,long,region
Notemigonus,crysoleucas,29.13,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notemigonus crysoleucas,NA,34.2,-96.6,Temperate
Notropis,atherinoides,30.1,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis atherinoides,NA,34.2,-96.6,Temperate
Phenacobius,mirabilis,30.45,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Phenacobius mirabilis,NA,34.2,-96.6,Temperate
Dicentrarchus,labrax,33.3,NA,Chordata,Actinopteri,Perciformes,Moronidae,Dicentrarchus labrax,19,38,-9,Temperate
Diplodus,sargus,33.8,NA,Chordata,Actinopteri,Spariformes,Sparidae,Diplodus sargus,25,38,-9,Temperate
Diplodus,vulgaris,31.1,NA,Chordata,Actinopteri,Spariformes,Sparidae,Diplodus vulgaris,19,38,-9,Temperate
Gobius,niger,34.1,NA,Chordata,Actinopteri,Perciformes,Gobiidae,Gobius niger,18,38,-9,Temperate
Liza,ramada,38,NA,Chordata,Actinopteri,Mugiliformes,Mugilidae,Chelon ramada,23,38,-9,Temperate
Diplodus,bellottii,27.38,NA,Chordata,Actinopteri,Spariformes,Sparidae,Pagellus bellottii,17,38,-9,Temperate
Gobius,cobitis,33.7,NA,Chordata,Actinopteri,Perciformes,Gobiidae,Gobius cobitis,4,38,-9,Temperate
Lipophrys,trigloides,33.8,NA,Chordata,Actinopteri,Perciformes,Blenniidae,Lipophrys trigloides,9,38,-9,Temperate
Pegusa,lascaris,32.9,NA,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Pegusa lascaris,8,38,-9,Temperate
Notropis,girardi,38.6,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis girardi,NA,35.2,-97.5,Temperate
Gila,bicolor_mohavensis,34.9,4.8,Chordata,Actinopteri,Cypriniformes,Cyprinidae,NA,5,35.9,-117.7,Temperate
Notropis,cummingsae,29,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis cummingsae,NA,33.5,-82,Temperate
Notropis,lutipinnis,30,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis lutipinnis,NA,33.5,-82,Temperate
Gambusia,holbrooki,39.8,NA,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia holbrooki,NA,33.5,-81.7,Temperate
Carpiodes,cyprinus,38.8,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Carpiodes cyprinus,6,40,-83,Temperate
Ericymba,buccata,37,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis buccatus,10,40,-83,Temperate
Cyprinodon,sp.1,41.4,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,NA,NA,36.5,-120,Temperate
Cottus,cognatus,29.4,3.5,Chordata,Actinopteri,Perciformes,Cottidae,Cottus cognatus,10,42.2,-86.7,Temperate
Alosa,pseudoharengus,32.8,6,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa pseudoharengus,5,42.4,-87.8,Temperate
Pimephales,vigilax,39.3,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pimephales vigilax,10,32,-97,Temperate
Dallia,pectoralis ,25,NA,Chordata,Actinopteri,Esociformes,Umbridae,NA,8,60.8,-161.8,Temperate
Pungitius,pungitius,20,NA,Chordata,Actinopteri,Perciformes,Gasterosteidae,Pungitius pungitius,8,40,-74,Temperate
Ameiurus,melas,38.1,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ameiurus melas,7,39,-91,Temperate
Ameiurus,natalis,37.9,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ameiurus natalis,7,39.5,-91.5,Temperate
Catostomus,commersoni,34.9,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus commersonii,5,39.5,-91.5,Temperate
Etheostoma,caeruleum,35.6,NA,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma caeruleum,11,38,-92,Temperate
Etheostoma,fabellare,36,NA,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma flabellare,9,38,-92,Temperate
Etheostoma,nigrum,36.4,NA,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma nigrum,7,39.5,-91.5,Temperate
Fundulus,notatus,38.3,NA,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus notatus,7,39,-91,Temperate
Fundulus,olivaceus,38.8,NA,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus olivaceus,7,38,-92,Temperate
Fundulus,sciadicus,37,NA,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus sciadicus,3,38,-92,Temperate
Labidesthes,sicculus,36,NA,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Labidesthes sicculus,8,39,-93,Temperate
Lepomis,humilis,36.4,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Lepomis humilis,9,39.5,-91.5,Temperate
Luxilus,cornutus,35.7,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Luxilus cornutus,18,39,-93,Temperate
Luxilus,zonatus,35.3,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Luxilus zonatus,8,38,-92,Temperate
Lythrurus,umbratilis,36.2,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Lythrurus umbratilis,12,39,-93,Temperate
Nocomis,biguttatus,35.6,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Nocomis biguttatus,8,38,-92,Temperate
Notropis,dorsalis,36.6,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis dorsalis,9,39.5,-91.5,Temperate
Notropis,nubilus,36.2,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis nubilus,9,38,-92,Temperate
Notropis,rubellus,35.3,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis rubellus,7,39,-93,Temperate
Notropis,stramineus,37,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis stramineus,6,39,-92.5,Temperate
Noturus,exilis,36.5,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,Noturus exilis,8,39,-93,Temperate
Phoxinus,erythrogaster,35.9,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Chrosomus erythrogaster,12,38,-92,Temperate
Pimephales,promelas,36.5,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pimephales promelas,8,39.5,-91.5,Temperate
Semotilus,atromaculatus,35.7,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Semotilus atromaculatus,9,39.5,-91.5,Temperate
Etheostoma,cragini,36.7,NA,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma cragini,59,39,-104,Temperate
Engraulis,japonicus,32,8,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis japonicus,NA,34.9,138.6,Temperate
Sardinops,melanosticta,30,6,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops sagax,NA,34.9,138.6,Temperate
Hypomesus,nipponensis,29,2.5,Chordata,Actinopteri,Osmeriformes,Osmeridae,Hypomesus nipponensis,56,38.1,-122,Temperate
Hypomesus,transpacificus,25.4,7.5,Chordata,Actinopteri,Osmeriformes,Osmeridae,Hypomesus transpacificus,56,38.7,-121.1,Temperate
Pogonichthys,macrolepidotus,29,7.3,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pogonichthys macrolepidotus,5,38.3,-121.6,Temperate
Zoarces,viviparus,26.7,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Zoarces viviparus,45,54.5,10.2,Temperate
Poeciliopsis,monacha,NA,6.8,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poeciliopsis monacha,53,26,-109,Temperate
Eurycea,nana,35.8,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea nana,10,29.9,-98,Temperate
Bufo,alvarius,39.9,2.5,Chordata,Amphibia,Anura,Bufonidae,Bufo aurarius,55,31,-112,Temperate
Bufo,canorus,38,-2,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus canorus,55,38,-119.3,Temperate
Bufo,cognatus,41.3,-4,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus cognatus,5,31,-112,Temperate
Bufo,debilis,40.1,2.5,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus debilis,55,27,-109.7,Temperate
Bufo,exsul,37.1,-4,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus exsul,55,38,-118,Temperate
Bufo,mazatlanensis,39.9,5,Chordata,Amphibia,Anura,Bufonidae,Incilius mazatlanensis,55,27,-109.7,Temperate
Bufo,nelsoni,36.2,NA,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus nelsoni,55,36.91,-116.76,Temperate
Hyla,regilla,37.7,-1,Chordata,Amphibia,Anura,Hylidae,Pseudacris regilla,55,34.12,-116.82,Temperate
Leptodactylus,melanotus,39.8,5,Chordata,Amphibia,Anura,Leptodactylidae,NA,55,30,-110.7,Temperate
Pachymedusa,dacnicolor,28.8,2.5,Chordata,Amphibia,Anura,Hylidae,Pachymedusa dacnicolor,55,24,-106.9,Temperate
Pseudacris,cadaverina,36.8,-1.4,Chordata,Amphibia,Anura,Hylidae,Pseudacris cadaverina,55,34,-116.7,Temperate
Pseudacris,regilla,36.6,-1,Chordata,Amphibia,Anura,Hylidae,Pseudacris regilla,55,34,-117.7,Temperate
Pternohyla,fodiens,39.5,6.5,Chordata,Amphibia,Anura,Hylidae,Smilisca fodiens,55,28,-109.7,Temperate
Rana,cascadae,33.6,-1,Chordata,Amphibia,Anura,Ranidae,Rana cascadae,55,40,-120.8,Temperate
Rana,pretiosa,34.8,-1,Chordata,Amphibia,Anura,Ranidae,Rana pretiosa,55,51,-121.5,Temperate
Smilisca,baudini,40.4,5,Chordata,Amphibia,Anura,Hylidae,NA,55,30,-106.9,Temperate
Spea,hammondii,40.3,0,Chordata,Amphibia,Anura,Pelobatidae,Spea hammondii,55,30,-110.3,Temperate
Bufo,boreas,36.5,NA,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus boreas,55,34.12,-116.82,Temperate
Rana,boyleri,34,NA,Chordata,Amphibia,Anura,Ranidae,NA,55,39.72,-122.81,Temperate
Rana,catesbeiana,33.6,NA,Chordata,Amphibia,Anura,Ranidae,Lithobates catesbeianus,55,40.74,-73.95,Temperate
Rana,clamitans,35,NA,Chordata,Amphibia,Anura,Ranidae,Lithobates clamitans,55,40.74,-73.95,Temperate
Rana,palustris,31.3,NA,Chordata,Amphibia,Anura,Ranidae,Rosa palustris,55,40.74,-73.95,Temperate
Spea,holbrooki,34,NA,Chordata,Amphibia,Anura,Pelobatidae,NA,55,40.74,-73.95,Temperate
Plethodon,glutinosus,34.3,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon glutinosus,10,40.78,-75.28,Temperate
Ambystoma,jeffersonianum,34,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma jeffersonianum,16,40.23,-76.85,Temperate
Rana,virgatipes,38,NA,Chordata,Amphibia,Anura,Ranidae,Lithobates virgatipes,24,40.1,-74.8,Temperate
Ambystoma,macrodactylum,35,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma macrodactylum,NA,44.9,-117.22,Temperate
Desmognathus,fuscus,34.9,-2.3,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus fuscus,7,39.7,-84.7,Temperate
Eurycea,bislineata,35,-2,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea bislineata,7,39.7,-84.7,Temperate
Lithobates,sylvatica,33.9,0.1,Chordata,Amphibia,Anura,Ranidae,NA,11,42.63,-83.22,Temperate
Taricha,torosa,38,NA,Chordata,Amphibia,Caudata,Salamandridae,Taricha torosa,NA,32.97,-116.74,Temperate
Pseudacris,triseriata,38.1,-3,Chordata,Amphibia,Anura,Hylidae,Pseudacris triseriata,3,40.6,-105.83,Temperate
Ambystoma,maculatum,38.5,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma maculatum,15,35.55,-91.62,Temperate
Eurycea,longicauda,37.6,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea longicauda,15,36.11,-94.33,Temperate
Eurycea,lucifuga,37.2,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea lucifuga,15,36.11,-94.33,Temperate
Eurycea,multiplicata,37.5,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea multiplicata,15,36.1,-90.36,Temperate
Bufo,woodhousii_fowleri,41.1,NA,Chordata,Amphibia,Anura,Bufonidae,NA,3,41.78,-70.1,Temperate
Paa,spinosa,42.1,NA,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa spinosa,8,24.48,112.63,Temperate
Desmognathus,ochrophaeus,31.5,NA,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus ochrophaeus,9,37.4,-80.5,Temperate
Desmognathus,quadramaculatus,31.9,NA,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus quadramaculatus,19,37.4,-80.5,Temperate
Notophthalmus,viridescens,37.3,NA,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus viridescens,10,37.4,-80.5,Temperate
Pseudotriton,ruber,35.3,NA,Chordata,Amphibia,Caudata,Plethodontidae,Pseudotriton ruber,2,37.4,-80.5,Temperate
Acris,crepitans,NA,-1,Chordata,Amphibia,Anura,Hylidae,Acris crepitans,55,29.95,-90.08,Temperate
Gastrophyrne,mazatlanensis,NA,2.5,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne mazatlanensis,5,31,-112,Temperate
Hyla,phaeota,NA,2.8,Chordata,Amphibia,Anura,Hylidae,Smilisca phaeota,5,29.95,-90.08,Temperate
Hyla,squirella,NA,-1,Chordata,Amphibia,Anura,Hylidae,Hyla squirella,55,29.95,-90.08,Temperate
Hypophacus,sp.1,NA,2.5,Chordata,Amphibia,Anura,Microhylidae,NA,5,31,-112,Temperate
Hyla,chrysocelis,NA,2.1,Chordata,Amphibia,Anura,Hylidae,NA,NA,32.6,-85.3,Temperate
Hyla,cinerea,NA,4.7,Chordata,Amphibia,Anura,Hylidae,Hyla cinerea,NA,32.6,-85.3,Temperate
Hyla,gratiosa,NA,5.1,Chordata,Amphibia,Anura,Hylidae,Hyla gratiosa,NA,32.6,-85.3,Temperate
Agroeca,proxima,37.4,-6.7,Arthropoda,Arachnida,Araneae,Liocranidae,Agroeca proxima,10,55.4,14.19,Temperate
Clubiona,diversa,41.4,-10.2,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona diversa,15,55.4,14.19,Temperate
Clubiona,similis,42.2,-16.9,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona similis,19,55.4,14.19,Temperate
Clubiona,trivialis,42.1,-7.4,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona trivialis,15,55.4,14.19,Temperate
Crustulina,guttata,41.8,-8,Arthropoda,Arachnida,Araneae,Theridiidae,Crustulina guttata,10,55.4,14.19,Temperate
Dipoena,inornata,43.2,-16.4,Arthropoda,Arachnida,Araneae,Theridiidae,Dipoena abdita,11,55.4,14.19,Temperate
Oedothorax,apicatus,40.8,-7.5,Arthropoda,Arachnida,Araneae,Linyphiidae,Oedothorax apicatus,10,55.4,14.19,Temperate
Pardosa,nigriceps,39.7,-7.2,Arthropoda,Arachnida,Araneae,Lycosidae,Pardosa nigriceps,5,55.4,14.19,Temperate
Philodromus,aureolus,42.1,-10.8,Arthropoda,Arachnida,Araneae,Philodromidae,Philodromus aureolus,5,55.4,14.19,Temperate
Scotina,gracilipes,41.4,-6.9,Arthropoda,Arachnida,Araneae,Liocranidae,Scotina gracilipes,20,55.4,14.19,Temperate
Stemonyphantes,lineatus,40.5,-13.3,Arthropoda,Arachnida,Araneae,Linyphiidae,Stemonyphantes lineatus,17,55.4,14.19,Temperate
Tibellus,oblongus,42.8,-13,Arthropoda,Arachnida,Araneae,Thomisidae,Tibellus oblongus,17,55.4,14.19,Temperate
Euophrys,frontalis,45.7,NA,Arthropoda,Arachnida,Araneae,Salticidae,Euophrys frontalis,10,55.4,14.19,Temperate
Phrurolithus,festivus,45.6,NA,Arthropoda,Arachnida,Araneae,Corinnidae,Phrurolithus festivus,5,55.4,14.19,Temperate
Zelotes,serotinus,45.7,NA,Arthropoda,Arachnida,Araneae,Gnaphosidae,Zelotes longipes,12,55.4,14.19,Temperate
Zora,spinimana,41.8,NA,Arthropoda,Arachnida,Araneae,Zoridae,Zora spinimana,15,55.4,14.19,Temperate
Misumenoides,formosipes,48.2,2.2,Arthropoda,Arachnida,Araneae,Thomisidae,Misumenoides formosipes,5,40.5,-74.5,Temperate
Misumenops,asperatus,45.1,-1.4,Arthropoda,Arachnida,Araneae,Thomisidae,Mecaphesa asperata,5,40.5,-74.5,Temperate
Chrysemys,picta,42.3,NA,Chordata,Archelosauria,Testudines,Emydidae,Chrysemys picta,3,46.72,-94.68,Temperate
Trachemys ,scripta,41.2,NA,Chordata,Archelosauria,Testudines,Emydidae,NA,NA,37.26,-91.36,Temperate
Gopherus,agassizii,39.5,NA,Chordata,Archelosauria,Testudines,Emydidae,Gopherus morafkai,10,34.26,-118.78,Temperate
Ascidia,ceratodes,24.3,NA,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia ceratodes,NA,38.33,-123.06,Temperate
Distaplia,occidentalis,21.9,NA,Chordata,Ascidiacea,Enterogona,Clavelinidae,Distaplia occidentalis,NA,38.33,-123.06,Temperate
Fulica,atra,34,20,Chordata,Aves,Gruiformes,Rallidae,Fulica atra,13,56,10.2,Temperate
Geococcyx,californianus,36,27,Chordata,Aves,Cuculiformes,Neomorphidae,Geococcyx californianus,9,34,-111,Temperate
Baeolophus,ridgwayi,35.7,17.1,Chordata,Aves,Passeriformes,Paridae,Baeolophus ridgwayi,16,41.5,-113.25,Temperate
Parus ,gambeli,31.5,14.7,Chordata,Aves,Passeriformes,Paridae,NA,14,41.52,-111.3,Temperate
Athene,cunicularia,37,25,Chordata,Aves,Strigiformes,Strigidae,Athene cunicularia,28,32.5,-115.34,Temperate
Onychognathus,tristramii,36.5,21.5,Chordata,Aves,Passeriformes,Sturnidae,Onychognathus tristramii,15,30.38,35.25,Temperate
Sturnus,vulgaris,36.5,29.5,Chordata,Aves,Passeriformes,Sturnidae,Sturnus vulgaris,25,30.75,34.85,Temperate
Thryothorus,ludovicianus,35,27,Chordata,Aves,Passeriformes,Certhiidae,Thryothorus ludovicianus,7,29.64,-82.19,Temperate
Tyto,alba,32.5,22.5,Chordata,Aves,Strigiformes,Tytonidae,Tyto alba,2,28.37,-81.22,Temperate
Alectoris,chukar,38.5,28,Chordata,Aves,Galliformes,Phasianidae,Alectoris chukar,28,30.86,34.76,Temperate
Bubo,virginianus,32.2,20.3,Chordata,Aves,Strigiformes,Strigidae,Bubo virginianus,4,33.27,-112.04,Temperate
Strix,occidentalis,25.2,17,Chordata,Aves,Strigiformes,Strigidae,Strix occidentalis,3,33.27,-111.05,Temperate
Pica,nuttalli,33.5,13.5,Chordata,Aves,Passeriformes,Corvidae,Pica nuttalli,12,42.87,-112.26,Temperate
Pica,hudsonia,32.5,21,Chordata,Aves,Passeriformes,Corvidae,Pica hudsonia,9,42.87,-112.26,Temperate
Cardinalis,cardinalis,42.6,29,Chordata,Aves,Passeriformes,Fringillidae,Cardinalis cardinalis,8,32.13,-110.98,Temperate
Cardinalis,sinuatus,42.8,30,Chordata,Aves,Passeriformes,Fringillidae,Cardinalis sinuatus,6,32.13,-110.98,Temperate
Callipepla,californica,37.5,27.5,Chordata,Aves,Galliformes,Odontophoridae,Callipepla californica,15,34.07,-118.47,Temperate
Zenaida,macroura,37.5,30,Chordata,Aves,Columbiformes,Columbidae,Zenaida macroura,8,34.07,-118.47,Temperate
Passer,domesticus,35,20,Chordata,Aves,Passeriformes,Passeridae,Passer domesticus,24,29.7,-95.4,Temperate
Lagopus,leucura,38,9,Chordata,Aves,Galliformes,Phasianidae,Lagopus leucura,24,48.41,-113.71,Temperate
Caprimulgus,vociferus,37,25,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,8,42.78,-97,Temperate
Chordeiles,minor,39,30,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles minor,6,45.16,-84.4,Temperate
Agelaius,phoeniceus,40,27.5,Chordata,Aves,Passeriformes,Icteridae,Agelaius phoeniceus,24,42.5,-82.48,Temperate
Micrathene,whitneyi,38,33,Chordata,Aves,Strigiformes,Strigidae,Micrathene whitneyi,7,31.93,-109.38,Temperate
Aegolius,acadicus,32,24,Chordata,Aves,Strigiformes,Strigidae,Aegolius acadicus,2,42.28,-83.74,Temperate
Glaucidium,gnoma,35,27,Chordata,Aves,Strigiformes,Strigidae,Glaucidium gnoma,3,31.93,-109.38,Temperate
Megascops,asio,34,19,Chordata,Aves,Strigiformes,Strigidae,Otus asio,2,42.28,-83.74,Temperate
Acridotheres,cristatellus,32.5,25,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres cristatellus,8,27.29,120.51,Temperate
Syrmaticus,ellioti,31.6,24.5,Chordata,Aves,Galliformes,Phasianidae,Syrmaticus ellioti,6,25.15,110.19,Temperate
Syrmaticus,humiae,29.2,23,Chordata,Aves,Galliformes,Phasianidae,Syrmaticus humiae,6,25.15,110.19,Temperate
Columbina,inca,35,32,Chordata,Aves,Columbiformes,Columbidae,Columbina inca,10,32.13,-110.55,Temperate
Aphelocoma,coerulescens,34,12.4,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma coerulescens,11,33.71,-117.61,Temperate
Cyanocitta,stelleri,31.8,28,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta stelleri,8,34.09,-116.92,Temperate
Aramides,cajanea,38,30,Chordata,Aves,Gruiformes,Rallidae,Aramides cajanea,2,27.56,-104.1,Temperate
Amphispiza,belli,37,28,Chordata,Aves,Passeriformes,Fringillidae,Artemisiospiza belli,9,43.5,-121.08,Temperate
Sitta,canadensis,38,28,Chordata,Aves,Passeriformes,Sittidae,Sitta canadensis,19,46.51,-114,Temperate
Cinclus,mexicanus,34,11.5,Chordata,Aves,Passeriformes,Cinclidae,Cinclus mexicanus,NA,46.88,-114.21,Temperate
Parus,atricapillus,31.5,25.5,Chordata,Aves,Passeriformes,Paridae,Poecile atricapillus,7,42.44,-76.5,Temperate
Alauda,arvensis,35.1,22.2,Chordata,Aves,Passeriformes,Alaudidae,Alauda arvensis,15,52.52,6.2,Temperate
Lullula,arborea,37.5,27.6,Chordata,Aves,Passeriformes,Alaudidae,Lullula arborea,14,52.52,6.2,Temperate
Daptrius,ater,35,19.5,Chordata,Aves,Falconiformes,Falconidae,Daptrius ater,2,29.68,-82.43,Temperate
Haemorhous,mexicanus,37,25,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous mexicanus,6,38.33,-119.64,Temperate
Callipepla,gambelii,40.5,27,Chordata,Aves,Galliformes,Odontophoridae,Callipepla gambelii,7,42.07,-104.03,Temperate
Amphispiza,bilineata,36,NA,Chordata,Aves,Passeriformes,Fringillidae,Amphispiza bilineata,8,38.33,-119.64,Temperate
Carpodacus,cassinii,37.5,22,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous cassinii,7,38.33,-119.64,Temperate
Pycnonotus,sinensis,33,25,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus sinensis,10,27.88,120.36,Temperate
Phalaenoptilus,nuttallii,NA,35,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus nuttallii,2,33.76,-116.35,Temperate
Strix,aluco,NA,16,Chordata,Aves,Strigiformes,Strigidae,Strix aluco,2,63,10,Temperate
Uria,aalge,NA,15,Chordata,Aves,Charadriiformes,Alcidae,Uria aalge,8,57.2,-170.15,Temperate
Ammoperdix,heyi,NA,30,Chordata,Aves,Galliformes,Phasianidae,Ammoperdix heyi,36,30.86,34.76,Temperate
Aegolius,funereus,NA,10,Chordata,Aves,Strigiformes,Strigidae,Aegolius funereus,10,64.48,24.38,Temperate
Branta,bernicla,NA,6,Chordata,Aves,Anseriformes,Anatidae,Branta bernicla,1,61.52,-166.1,Temperate
Corvus,caurinus,NA,-7,Chordata,Aves,Passeriformes,Corvidae,Corvus caurinus,1,60.1,-149.44,Temperate
Megascops,trichopsis,NA,28,Chordata,Aves,Strigiformes,Strigidae,Megascops trichopsis,3,31.93,-109.38,Temperate
Plectrophenax,nivalis,NA,9,Chordata,Aves,Passeriformes,Fringillidae,Plectrophenax nivalis,12,61.18,-149.79,Temperate
Chlamydotis,undulata,NA,29,Chordata,Aves,Gruiformes,Otididae,Chlamydotis undulata,7,30.37,69.34,Temperate
Bangia,fuscopurpurea,25,NA,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia fuscopurpurea,1,54.19261,7.86732,Temperate
Porphyra,linearis,23,NA,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra linearis,1,54.19261,7.86732,Temperate
Porphyra,umbilicalis,24.3,NA,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra umbilicalis,3,54.19261,7.86732,Temperate
Abra,tenuis,33.44,-1.68,Mollusca,Bivalvia,Veneroida,Semelidae,Abra tenuis,4,53,5,Temperate
Cerastoderma,edule,33.98,-6.18,Mollusca,Bivalvia,Veneroida,Cardiidae,Cerastoderma edule,8,53,5,Temperate
Macoma,balthica,30.97,-7.01,Mollusca,Bivalvia,Veneroida,Tellinidae,Limecola balthica,8,53,5,Temperate
Siliqua,sp.1,33.45,6.14,Mollusca,Bivalvia,Veneroida,Pharidae,NA,8,53,5,Temperate
Mytilus,edulis,30.5,-8.2,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus edulis,20,55.75,-4.9,Temperate
Gemma,gemma,35,NA,Mollusca,Bivalvia,Veneroida,Veneridae,Gemma gemma,469,37.11,-76.13,Temperate
Mulinia,lateralis,32,NA,Mollusca,Bivalvia,Veneroida,Mactridae,Mulinia lateralis,200,37.11,-76.13,Temperate
Mya,arenaria,32,NA,Mollusca,Bivalvia,Myoida,Myidae,Mya arenaria,222,37.11,-76.13,Temperate
Branchinecta,paludosa,30,NA,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,Branchinecta paludosa,8,56,-159,Temperate
Plagiomnium,acutum,45.3,NA,Streptophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium acutum,15,28.25,109.67,Temperate
Thuidium,cymbifolium,44.1,NA,Streptophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium cymbifolium,15,28.25,109.67,Temperate
Brachythecium,rutabulum,NA,-37.5,Streptophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium rutabulum,4,51,6.8,Temperate
Hypnum,cupressiforme,NA,-30.5,Streptophyta,Bryopsida,Hypnales,Hypnaceae,Hypnum cupressiforme,4,51,6.8,Temperate
Mnium,hornum,NA,-40,Streptophyta,Bryopsida,Bryales,Mniaceae,Mnium hornum,4,51,6.8,Temperate
Plagiomnium,affine,NA,-37.5,Streptophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium affine,10,51,6.8,Temperate
Plagiomnium,undulatum,NA,-36.5,Streptophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium undulatum,16,51,6.8,Temperate
Dasyatis,sabina,43.2,0.8,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Hypanus sabinus,3,29.7,-85.3,Temperate
Onychiurus,vontoernei,NA,-4.9,Arthropoda,Collembola,Poduromorpha,Onychiuridae,Protaphorura vontoernei,12,47,10.5,Temperate
Tetracanthella,afurcata,NA,-7.7,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Tetracanthella afurcata,12,47,10.5,Temperate
