abundance,year,latitude,longitude,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species,tmax,tmin,n,lat,long,mean_summer_sst_degC
5,2006,43.301334,-63.625586,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
29,2000,42.14167,-68.564415,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
9,1999,41.979586,-66.771999,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1996,43.686829,-62.795584,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2000,46.270164,-59.92783,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2000,44.978914,-66.41925,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,1996,42.464916,-66.73333,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
4,1995,44.202835,-59.06583,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,2005,45.33075,-60.360085,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1998,42.990915,-61.92783,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2002,43.059336,-63.938915,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
4,2007,44.804085,-60.157166,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2005,44.995251,-57.422251,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2001,43.646416,-61.553415,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1997,44.177166,-63.57675,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
4,2006,46.458164,-59.607666,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
27,2010,42.217415,-67.164165,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
13,2003,42.116415,-66.824001,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,1997,41.965336,-66.172577,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
56,2004,41.74617,-68.687836,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
21,1999,43.119581,-62.076414,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
14,2008,44.349081,-61.321329,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
11,1997,43.354664,-60.953501,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
11,2000,42.668249,-66.392666,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
11,2004,45.022335,-65.546333,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
