input_name,db,acc_id,acc_name,kingdom,phylum,order,class,family,genus,syn_id,syn_name
Halymenia floresii,gbif,GBIF:2656324,Halymenia floresii,Plantae,Rhodophyta,Halymeniales,Florideophyceae,Halymeniaceae,Halymenia,NA,NA
Heterosiphonia gibbesii,gbif,GBIF:2659045,Heterosiphonia gibbesii,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Dasyaceae,Heterosiphonia,NA,NA
Anoplolepis gracilipes,gbif,GBIF:1317433,Anoplolepis gracilipes,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Anoplolepis,NA,NA
Cataulacus horridus,gbif,GBIF:1325268,Cataulacus horridus,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Cataulacus,NA,NA
Crematogaster inflata,gbif,GBIF:1324966,Crematogaster inflata,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Crematogaster,NA,NA
Dolichoderus beccarii,gbif,GBIF:5034989,Dolichoderus beccarii,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Dolichoderus,NA,NA
Dolichoderus cuspidatus,gbif,GBIF:5034891,Dolichoderus cuspidatus,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Dolichoderus,NA,NA
Monomorium floricola,gbif,GBIF:1314699,Monomorium floricola,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Monomorium,NA,NA
Monomorium pharaonis,gbif,GBIF:1314773,Monomorium pharaonis,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Monomorium,NA,NA
Pachycondyla tridentata,gbif,GBIF:1319948,Pachycondyla tridentata,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Pachycondyla,NA,NA
Polyrhachis bihamata,gbif,GBIF:1318193,Polyrhachis bihamata,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Polyrhachis,NA,NA
Polyrhachis furcata,gbif,GBIF:1318606,Polyrhachis furcata,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Polyrhachis,NA,NA
Epigomphus quadracies,gbif,GBIF:1425443,Epigomphus quadracies,Animalia,Arthropoda,Odonata,Insecta,Gomphidae,Epigomphus,NA,NA
Erythemis credula,gbif,GBIF:1429337,Erythemis credula,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Erythemis,NA,NA
Erythemis plebeja,gbif,GBIF:1429333,Erythemis plebeja,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Erythemis,NA,NA
Miathyria marcella,gbif,GBIF:1427685,Miathyria marcella,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Miathyria,NA,NA
Micrathyria aequalis,gbif,GBIF:1427625,Micrathyria aequalis,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Micrathyria,NA,NA
Micrathyria eximia,gbif,GBIF:1427609,Micrathyria eximia,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Micrathyria,NA,NA
Micrathyria ocellata,gbif,GBIF:1427640,Micrathyria ocellata,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Micrathyria,NA,NA
Tauriphila argo,gbif,GBIF:1428190,Tauriphila argo,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Tauriphila,NA,NA
Tramea cophysa,gbif,GBIF:1428486,Tramea cophysa,Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Tramea,NA,NA
Eciton burchellii,gbif,GBIF:1319394,Eciton burchellii,Animalia,Arthropoda,Hymenoptera,Insecta,Formicidae,Eciton,NA,NA
Conocephalus saltator,gbif,GBIF:5095942,Conocephalus saltator,Animalia,Arthropoda,Orthoptera,Insecta,Tettigoniidae,Conocephalus,NA,NA
Nysius wekiuicola,gbif,GBIF:2007772,Nysius wekiuicola,Animalia,Arthropoda,Hemiptera,Insecta,Lygaeidae,Nysius,NA,NA
Meridacris subaptera,gbif,GBIF:1709798,Meridacris subaptera,Animalia,Arthropoda,Orthoptera,Insecta,Acrididae,Meridacris,NA,NA
Cladonia oceanica,gbif,GBIF:3391485,Cladonia oceanica,Fungi,Ascomycota,Lecanorales,Lecanoromycetes,Cladoniaceae,Cladonia,NA,NA
Usnea acanthera,gbif,GBIF:3409577,Usnea acanthera,Fungi,Ascomycota,Lecanorales,Lecanoromycetes,Parmeliaceae,Usnea,NA,NA
Anolis barbouri,gbif,GBIF:2467317,Anolis barbouri,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis auratus,gbif,GBIF:9129157,Anolis auratus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis frenatus,gbif,GBIF:2467445,Anolis frenatus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis tropidogaster,gbif,GBIF:8072367,Anolis tropidogaster,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Urosaurus auriculatus,gbif,GBIF:2451530,Urosaurus auriculatus,Animalia,Chordata,Squamata,Reptilia,Phrynosomatidae,Urosaurus,NA,NA
Urosaurus clarionensis,gbif,GBIF:2451544,Urosaurus clarionensis,Animalia,Chordata,Squamata,Reptilia,Phrynosomatidae,Urosaurus,NA,NA
Masticophis anthonyi,gbif,GBIF:7930844,Masticophis anthonyi,Animalia,Chordata,Squamata,Reptilia,Colubridae,Masticophis,NA,NA
Anolis pentaprion,gbif,GBIF:2467720,Anolis pentaprion,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis oculatus,gbif,GBIF:2466987,Anolis oculatus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis evermanni,gbif,GBIF:9424209,Anolis evermanni,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis stratulus,gbif,GBIF:2467412,Anolis stratulus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis cybotes,gbif,GBIF:2467427,Anolis cybotes,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis shrevei,gbif,GBIF:2467010,Anolis shrevei,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis marcanoi,gbif,GBIF:2467336,Anolis marcanoi,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis krugi,gbif,GBIF:2467391,Anolis krugi,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis pulchellus,gbif,GBIF:2467352,Anolis pulchellus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis semilineatus,gbif,GBIF:2467028,Anolis semilineatus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis roquet,gbif,GBIF:2467197,Anolis roquet,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
