abundance,year,genus,species,genus_species,fishbase_name,region,temp_min,temp_max,latitude,longitude,mean_summer_sst_degC
1,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.312,-64.7229,28.984334309895832
1,2002,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3127,-64.7231,28.010334014892567
2,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3127,-64.7357,29.162668228149432
4,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.315,-64.6859,28.5100015004476
2,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3152,-64.6973,28.496334075927734
2,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3152,-64.6996,28.5100015004476
14,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3153,-64.7357,29.162668228149432
3,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3158,-64.7374,28.5100015004476
3,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3165,-64.7408,28.496334075927734
7,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3174,-64.7431,27.95200157165523
1,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3194,-64.7441,28.2163340250651
2,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3202,-64.7442,28.2163340250651
10,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3286,-64.674,29.162668228149432
5,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3288,-64.6971,28.371667226155633
5,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.329,-64.673,28.5100015004476
2,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3295,-64.669,28.496334075927734
1,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.33,-64.6982,28.984334309895832
2,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.33,-64.6962,28.371667226155633
1,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3302,-64.6762,28.2163340250651
1,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3307,-64.6745,28.2163340250651
1,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.331,-64.6964,28.5100015004476
5,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3312,-64.6788,28.5100015004476
11,2001,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3316,-64.7022,28.2703348795573
3,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3317,-64.6793,28.5100015004476
2,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3325,-64.6964,28.371667226155633
2,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3326,-64.7005,29.162668228149432
1,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3327,-64.699700000000007,29.162668228149432
4,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3335,-64.6633,28.496334075927734
