tmax,tmin,n,lat,long,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species
NA,30.5,15,11.47,-70.14,Tropical,Leptonycteris curasoae,GBIF:2433316,Leptonycteris curasoae,Chordata,Chiroptera,Mammalia,Phyllostomidae,Leptonycteris,curasoae
NA,34,12,10.1,-63.3,Tropical,Pteronotus personatus,GBIF:5218619,Pteronotus personatus,Chordata,Chiroptera,Mammalia,Mormoopidae,Pteronotus,personatus
NA,28.76,2,10.42,-70.57,Tropical,Monodelphis brevicaudata,GBIF:2439971,Monodelphis brevicaudata,Chordata,Didelphimorphia,Mammalia,Didelphidae,Monodelphis,brevicaudata
NA,19,3,9.1,-79.7,Tropical,Tamandua mexicana,GBIF:2436335,Tamandua mexicana,Chordata,Pilosa,Mammalia,Myrmecophagidae,Tamandua,mexicana
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,20,1,9.1,-79.8,Tropical,Callithrix geoffroyi,GBIF:5219539,Callithrix geoffroyi,Chordata,Primates,Mammalia,Callitrichidae,Callithrix,geoffroyi
NA,27.5,11,6.81,-5.26,Tropical,Crocidura olivieri,GBIF:2435579,Crocidura olivieri,Chordata,Soricomorpha,Mammalia,Soricidae,Crocidura,olivieri
NA,20,2,20.8,40.8,Tropical,Vulpes cana,GBIF:5219235,Vulpes cana,Chordata,Carnivora,Mammalia,Canidae,Vulpes,cana
23.2,-0.7,NA,52,-128.9,Temperate,Oncorhynchus keta,GBIF:5204014,Oncorhynchus keta,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,keta
40.5,NA,20,37.16,-76.5,Temperate,Fundulus heteroclitus,GBIF:5712056,Fundulus heteroclitus,Chordata,Cyprinodontiformes,Actinopterygii,Fundulidae,Fundulus,heteroclitus
35.1,NA,12,33,-111,Temperate,Catostomus clarkii,GBIF:2359050,Catostomus clarkii,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Catostomus,clarkii
36.6,NA,12,33,-111,Temperate,Gila robusta,GBIF:2360128,Gila robusta,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Gila,robusta
32.6,NA,NA,42.5,-122,Temperate,Catostomus snyderi,GBIF:2359035,Catostomus snyderi,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Catostomus,snyderi
34.5,5.3,12,34,-120.8,Temperate,Girella nigricans,GBIF:2381219,Girella nigricans,Chordata,Perciformes,Actinopterygii,Kyphosidae,Girella,nigricans
34.6,NA,10,34.4,-118.5,Temperate,Gasterosteus aculeatus,GBIF:4286327,Gasterosteus aculeatus,Chordata,Gasterosteiformes,Actinopterygii,Gasterosteidae,Gasterosteus,aculeatus
32.3,NA,6,36,-94,Temperate,Notropis pilsbryi,GBIF:2366961,Notropis pilsbryi,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Luxilus,pilsbryi
32.5,1.5,NA,40,-74,Temperate,Menidia menidia,GBIF:2412304,Menidia menidia,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Menidia,menidia
32.2,NA,NA,43,-78.5,Temperate,Etheostoma blennioides,GBIF:2382397,Etheostoma blennioides,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,blennioides
29.4,NA,NA,33.9,-110.2,Temperate,Oncorhynchus apache,GBIF:5204012,Oncorhynchus apache,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,apache
29.8,NA,NA,34.2,-96.6,Temperate,Campostoma anomalum,GBIF:2361357,Campostoma anomalum,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Campostoma,anomalum
31.32,NA,NA,34.2,-96.6,Temperate,Ictalurus punctatus,GBIF:5202520,Ictalurus punctatus,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Ictalurus,punctatus
30.87,NA,NA,34.2,-96.6,Temperate,Lepomis megalotis,GBIF:2394510,Lepomis megalotis,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,megalotis
30.76,NA,NA,34.2,-96.6,Temperate,Micropterus punctulatus,GBIF:5211245,Micropterus punctulatus,Chordata,Perciformes,Actinopterygii,Centrarchidae,Micropterus,punctulatus
30.45,NA,NA,34.2,-96.6,Temperate,Phenacobius mirabilis,GBIF:2363799,Phenacobius mirabilis,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Phenacobius,mirabilis
34.1,NA,18,38,-9,Temperate,Gobius niger,GBIF:2375526,Gobius niger,Chordata,Perciformes,Actinopterygii,Gobiidae,Gobius,niger
33.8,NA,9,38,-9,Temperate,Lipophrys trigloides,GBIF:2395404,Lipophrys trigloides,Chordata,Perciformes,Actinopterygii,Blenniidae,Lipophrys,trigloides
29,NA,NA,33.5,-82,Temperate,Notropis cummingsae,GBIF:2362208,Notropis cummingsae,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,cummingsae
37,NA,10,40,-83,Temperate,Ericymba buccata,GBIF:2362253,Ericymba buccata,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,buccata
39.3,NA,10,32,-97,Temperate,Pimephales vigilax,GBIF:2367733,Pimephales vigilax,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pimephales,vigilax
37.9,NA,7,39.5,-91.5,Temperate,Ameiurus natalis,GBIF:2340969,Ameiurus natalis,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Ameiurus,natalis
36.4,NA,7,39.5,-91.5,Temperate,Etheostoma nigrum,GBIF:2382319,Etheostoma nigrum,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,nigrum
36,NA,8,39,-93,Temperate,Labidesthes sicculus,GBIF:2412271,Labidesthes sicculus,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Labidesthes,sicculus
36.2,NA,12,39,-93,Temperate,Lythrurus umbratilis,GBIF:2366052,Lythrurus umbratilis,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Lythrurus,umbratilis
35.3,NA,7,39,-93,Temperate,Notropis rubellus,GBIF:2362326,Notropis rubellus,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,rubellus
36.5,NA,8,39.5,-91.5,Temperate,Pimephales promelas,GBIF:2367742,Pimephales promelas,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pimephales,promelas
30,6,NA,34.9,138.6,Temperate,Sardinops melanosticta,GBIF:2412583,Sardinops melanosticta,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Sardinops,melanosticta
26.7,NA,45,54.5,10.2,Temperate,Zoarces viviparus,GBIF:2381013,Zoarces viviparus,Chordata,Perciformes,Actinopterygii,Zoarcidae,Zoarces,viviparus
38,-2,55,38,-119.3,Temperate,Bufo canorus,GBIF:2422932,Bufo canorus,Chordata,Anura,Amphibia,Bufonidae,Anaxyrus,canorus
39.9,5,55,27,-109.7,Temperate,Bufo mazatlanensis,GBIF:2422375,Bufo mazatlanensis,Chordata,Anura,Amphibia,Bufonidae,Incilius,mazatlanensis
28.8,2.5,55,24,-106.9,Temperate,Pachymedusa dacnicolor,GBIF:10807070,Pachymedusa dacnicolor,Chordata,Anura,Amphibia,Phyllomedusidae,Agalychnis,dacnicolor
33.6,-1,55,40,-120.8,Temperate,Rana cascadae,GBIF:2426771,Rana cascadae,Chordata,Anura,Amphibia,Ranidae,Rana,cascadae
31.3,NA,55,40.74,-73.95,Temperate,Rana palustris,GBIF:2426789,Rana palustris,Chordata,Anura,Amphibia,Ranidae,Rana,palustris
35,NA,NA,44.9,-117.22,Temperate,Ambystoma macrodactylum,GBIF:2431965,Ambystoma macrodactylum,Chordata,Caudata,Amphibia,Ambystomatidae,Ambystoma,macrodactylum
38,NA,NA,32.97,-116.74,Temperate,Taricha torosa,GBIF:2431913,Taricha torosa,Chordata,Caudata,Amphibia,Salamandridae,Taricha,torosa
37.2,NA,15,36.11,-94.33,Temperate,Eurycea lucifuga,GBIF:5218351,Eurycea lucifuga,Chordata,Caudata,Amphibia,Plethodontidae,Eurycea,lucifuga
37.3,NA,10,37.4,-80.5,Temperate,Notophthalmus viridescens,GBIF:5218390,Notophthalmus viridescens,Chordata,Caudata,Amphibia,Salamandridae,Notophthalmus,viridescens
NA,2.8,5,29.95,-90.08,Temperate,Hyla phaeota,GBIF:2428683,Hyla phaeota,Chordata,Anura,Amphibia,Hylidae,Smilisca,phaeota
NA,5.1,NA,32.6,-85.3,Temperate,Hyla gratiosa,GBIF:10740745,Hyla gratiosa,Chordata,Anura,Amphibia,Hylidae,Dryophytes,gratiosa
42.1,-7.4,15,55.4,14.19,Temperate,Clubiona trivialis,GBIF:2144170,Clubiona trivialis,Arthropoda,Araneae,Arachnida,Clubionidae,Clubiona,trivialis
39.7,-7.2,5,55.4,14.19,Temperate,Pardosa nigriceps,GBIF:2146194,Pardosa nigriceps,Arthropoda,Araneae,Arachnida,Lycosidae,Pardosa,nigriceps
42.8,-13,17,55.4,14.19,Temperate,Tibellus oblongus,GBIF:9805173,Tibellus oblongus,Arthropoda,Araneae,Arachnida,Philodromidae,Tibellus,oblongus
45.1,-1.4,5,40.5,-74.5,Temperate,Misumenops asperatus,GBIF:6717741,Misumenops asperatus,Arthropoda,Araneae,Arachnida,Thomisidae,Mecaphesa,asperatus
34,20,13,56,10.2,Temperate,Fulica atra,GBIF:2474377,Fulica atra,Chordata,Gruiformes,Aves,Rallidae,Fulica,atra
37,25,28,32.5,-115.34,Temperate,Athene cunicularia,GBIF:2497240,Athene cunicularia,Chordata,Strigiformes,Aves,Strigidae,Athene,cunicularia
32.5,22.5,2,28.37,-81.22,Temperate,Tyto alba,GBIF:2497921,Tyto alba,Chordata,Strigiformes,Aves,Tytonidae,Tyto,alba
33.5,13.5,12,42.87,-112.26,Temperate,Pica nuttalli,GBIF:5229489,Pica nuttalli,Chordata,Passeriformes,Aves,Corvidae,Pica,nuttalli
37.5,27.5,15,34.07,-118.47,Temperate,Callipepla californica,GBIF:5228080,Callipepla californica,Chordata,Galliformes,Aves,Odontophoridae,Callipepla,californica
37,25,8,42.78,-97,Temperate,Caprimulgus vociferus,GBIF:6101174,Caprimulgus vociferus,Chordata,Caprimulgiformes,Aves,Caprimulgidae,Antrostomus,vociferus
38,33,7,31.93,-109.38,Temperate,Micrathene whitneyi,GBIF:2497430,Micrathene whitneyi,Chordata,Strigiformes,Aves,Strigidae,Micrathene,whitneyi
32.5,25,8,27.29,120.51,Temperate,Acridotheres cristatellus,GBIF:2489010,Acridotheres cristatellus,Chordata,Passeriformes,Aves,Sturnidae,Acridotheres,cristatellus
34,12.4,11,33.71,-117.61,Temperate,Aphelocoma coerulescens,GBIF:2482400,Aphelocoma coerulescens,Chordata,Passeriformes,Aves,Corvidae,Aphelocoma,coerulescens
38,28,19,46.51,-114,Temperate,Sitta canadensis,GBIF:2484879,Sitta canadensis,Chordata,Passeriformes,Aves,Sittidae,Sitta,canadensis
37.5,27.6,14,52.52,6.2,Temperate,Lullula arborea,GBIF:2490604,Lullula arborea,Chordata,Passeriformes,Aves,Alaudidae,Lullula,arborea
36,NA,8,38.33,-119.64,Temperate,Amphispiza bilineata,GBIF:2491757,Amphispiza bilineata,Chordata,Passeriformes,Aves,Emberizidae,Amphispiza,bilineata
NA,16,2,63,10,Temperate,Strix aluco,GBIF:9282206,Strix aluco,Chordata,Strigiformes,Aves,Strigidae,Strix,aluco
NA,6,1,61.52,-166.1,Temperate,Branta bernicla,GBIF:5232446,Branta bernicla,Chordata,Anseriformes,Aves,Anatidae,Branta,bernicla
NA,29,7,30.37,69.34,Temperate,Chlamydotis undulata,GBIF:2474864,Chlamydotis undulata,Chordata,Otidiformes,Aves,Otididae,Chlamydotis,undulata
30.5,-8.2,20,55.75,-4.9,Temperate,Mytilus edulis,GBIF:8288896,Mytilus edulis,Mollusca,Mytilida,Bivalvia,Mytilidae,Mytilus,edulis
30,NA,8,56,-159,Temperate,Branchinecta paludosa,GBIF:2235350,Branchinecta paludosa,Arthropoda,Anostraca,Branchiopoda,Branchinectidae,Branchinecta,paludosa
NA,-7.7,12,47,10.5,Temperate,Tetracanthella afurcata,GBIF:2119783,Tetracanthella afurcata,Arthropoda,Poduromorpha,Collembola,Isotomidae,Tetracanthella,afurcata
35.3,-13,20,55.75,-4.9,Temperate,Littorina littorea,GBIF:2301117,Littorina littorea,Mollusca,Littorinimorpha,Gastropoda,Littorinidae,Littorina,littorea
25.5,-7.4,20,55.75,-4.9,Temperate,Tectura testudinalis,GBIF:4369953,Tectura testudinalis,Mollusca,Patellogastropoda,Gastropoda,Lottiidae,Testudinalia,testudinalis
34.7,NA,2775,43,-77.6,Temperate,Drosophila putrida,GBIF:5073889,Drosophila putrida,Arthropoda,Diptera,Insecta,Drosophilidae,Drosophila,putrida
44.5,-6.8,25,37.5,-1.9,Temperate,Agabus ramblae,GBIF:4469855,Agabus ramblae,Arthropoda,Coleoptera,Insecta,Dytiscidae,Agabus,ramblae
50,NA,20,41.3,2.09,Temperate,Cataglyphis cursor,GBIF:1319643,Cataglyphis cursor,Arthropoda,Hymenoptera,Insecta,Formicidae,Cataglyphis,cursor
48,NA,20,41.3,2.09,Temperate,Plagiolepis pygmaea,GBIF:1320777,Plagiolepis pygmaea,Arthropoda,Hymenoptera,Insecta,Formicidae,Plagiolepis,pygmaea
40,NA,NA,35.78,-78.8,Temperate,Amblyopone pallipes,GBIF:1327414,Amblyopone pallipes,Arthropoda,Hymenoptera,Insecta,Formicidae,Amblyopone,pallipes
40.36,NA,NA,36.04,-79.07,Temperate,Aphaenogaster rudis,GBIF:9991963,Aphaenogaster rudis,Arthropoda,Hymenoptera,Insecta,Formicidae,Aphaenogaster,rudis
44,NA,NA,36.04,-79.07,Temperate,Camponotus chromaiodes,GBIF:5034296,Camponotus chromaiodes,Arthropoda,Hymenoptera,Insecta,Formicidae,Camponotus,chromaiodes
43.25,NA,NA,36.04,-79.07,Temperate,Crematogaster lineolata,GBIF:1325146,Crematogaster lineolata,Arthropoda,Hymenoptera,Insecta,Formicidae,Crematogaster,lineolata
40.93,NA,NA,38.57,-106.59,Temperate,Formica obscuripes,GBIF:1314869,Formica obscuripes,Arthropoda,Hymenoptera,Insecta,Formicidae,Formica,obscuripes
41,NA,NA,38.57,-106.59,Temperate,Formica sanguinea,GBIF:1315006,Formica sanguinea,Arthropoda,Hymenoptera,Insecta,Formicidae,Formica,sanguinea
38,NA,NA,42.51,-72.21,Temperate,Lasius alienus,GBIF:5035777,Lasius alienus,Arthropoda,Hymenoptera,Insecta,Formicidae,Lasius,alienus
46.5,NA,NA,35.77,-78.68,Temperate,Monomorium minimum,GBIF:1314580,Monomorium minimum,Arthropoda,Hymenoptera,Insecta,Formicidae,Monomorium,minimum
